Site4,Year,Max Temp,Min Temp,Avg Temp,HDDs,CDDs,Precipitation Water Equiv,Snowfall,Snow/Ice Depth,Full Date
HOU,1964,62,28,45,20,0,0,0,0,1/1/64
HOU,1964,70,36,53,12,0,0,0,0,1/2/64
HOU,1964,72,44,58,7,0,0.06,0,0,1/3/64
HOU,1964,61,50,55.5,9.5,0,0,0,0,1/4/64
HOU,1964,55,43,49,16,0,0.09,0,0,1/5/64
HOU,1964,65,48,56.5,8.5,0,0.05,0,0,1/6/64
HOU,1964,63,42,52.5,12.5,0,0,0,0,1/7/64
HOU,1964,73,52,62.5,2.5,0,0.12,0,0,1/8/64
HOU,1964,52,34,43,22,0,0,0,0,1/9/64
HOU,1964,53,29,41,24,0,0,0,0,1/10/64
HOU,1964,69,42,55.5,9.5,0,0.05,0,0,1/11/64
HOU,1964,42,30,36,29,0,0,0,0,1/12/64
HOU,1964,36,23,29.5,35.5,0,0,0,0,1/13/64
HOU,1964,42,21,31.5,33.5,0,0,0,0,1/14/64
HOU,1964,45,36,40.5,24.5,0,0.34,0,0,1/15/64
HOU,1964,40,36,38,27,0,0.97,0,0,1/16/64
HOU,1964,57,30,43.5,21.5,0,0,0,0,1/17/64
HOU,1964,72,36,54,11,0,0,0,0,1/18/64
HOU,1964,74,55,64.5,0.5,0,0,0,0,1/19/64
HOU,1964,71,43,57,8,0,0,0,0,1/20/64
HOU,1964,66,48,57,8,0,0,0,0,1/21/64
HOU,1964,74,55,64.5,0.5,0,0,0,0,1/22/64
HOU,1964,72,62,67,0,2,0,0,0,1/23/64
HOU,1964,68,52,60,5,0,0.21,0,0,1/24/64
HOU,1964,59,39,49,16,0,0,0,0,1/25/64
HOU,1964,66,36,51,14,0,0,0,0,1/26/64
HOU,1964,68,50,59,6,0,0,0,0,1/27/64
HOU,1964,63,50,56.5,8.5,0,0,0,0,1/28/64
HOU,1964,61,50,55.5,9.5,0,0,0,0,1/29/64
HOU,1964,59,49,54,11,0,1,0,0,1/30/64
HOU,1964,66,50,58,7,0,0,0,0,1/31/64
HOU,1964,61,45,53,12,0,0,0,0,2/1/64
HOU,1964,56,49,52.5,12.5,0,0.1,0,0,2/2/64
HOU,1964,57,52,54.5,10.5,0,0.34,0,0,2/3/64
HOU,1964,55,49,52,13,0,2.16,0,0,2/4/64
HOU,1964,56,42,49,16,0,0,0,0,2/5/64
HOU,1964,67,42,54.5,10.5,0,0,0,0,2/6/64
HOU,1964,51,33,42,23,0,0,0,0,2/7/64
HOU,1964,60,28,44,21,0,0,0,0,2/8/64
HOU,1964,65,37,51,14,0,0,0,0,2/9/64
HOU,1964,74,41,57.5,7.5,0,0,0,0,2/10/64
HOU,1964,57,44,50.5,14.5,0,0,0,0,2/11/64
HOU,1964,70,43,56.5,8.5,0,0,0,0,2/12/64
HOU,1964,61,44,52.5,12.5,0,0.09,0,0,2/13/64
HOU,1964,53,43,48,17,0,0.16,0,0,2/14/64
HOU,1964,62,44,53,12,0,0.17,0,0,2/15/64
HOU,1964,56,35,45.5,19.5,0,0,0,0,2/16/64
HOU,1964,61,38,49.5,15.5,0,0.09,0,0,2/17/64
HOU,1964,65,49,57,8,0,0,0,0,2/18/64
HOU,1964,59,37,48,17,0,0,0,0,2/19/64
HOU,1964,60,34,47,18,0,0,0,0,2/20/64
HOU,1964,49,30,39.5,25.5,0,0.35,0,0,2/21/64
HOU,1964,52,27,39.5,25.5,0,0,0,0,2/22/64
HOU,1964,58,30,44,21,0,0,0,0,2/23/64
HOU,1964,49,39,44,21,0,1.33,0,0,2/24/64
HOU,1964,54,41,47.5,17.5,0,0,0,0,2/25/64
HOU,1964,56,47,51.5,13.5,0,0,0,0,2/26/64
HOU,1964,56,45,50.5,14.5,0,0.18,0,0,2/27/64
HOU,1964,59,39,49,16,0,0,0,0,2/28/64
HOU,1964,60,38,49,16,0,0,0,0,2/29/64
HOU,1964,65,54,59.5,5.5,0,0.23,0,0,3/1/64
HOU,1964,75,51,63,2,0,0.61,0,0,3/2/64
HOU,1964,66,49,57.5,7.5,0,0.07,0,0,3/3/64
HOU,1964,67,47,57,8,0,0.07,0,0,3/4/64
HOU,1964,68,40,54,11,0,0,0,0,3/5/64
