Site4,Date,Source,Max Temp,Min Temp,Avg Temp,HDDs,CDDs,Precipitation Water Equiv,Snowfall,Snow/Ice Depth
IAH,19690601,NCDC-EstDew-EstWind,90,72,81,0,16,0,0,0
IAH,19690602,NCDC-EstDew-EstWind,85,62,73.5,0,8.5,0.18,0,0
IAH,19690603,NCDC-EstDew-EstWind,80,60,70,0,5,0.06,0,0
IAH,19690604,NCDC-EstDew-EstWind,66,60,63,2,0,1.27,0,0
IAH,19690605,NCDC-EstDew-EstWind,78,56,67,0,2,0,0,0
IAH,19690606,NCDC-EstDew-EstWind,86,58,72,0,7,0,0,0
IAH,19690607,NCDC-EstDew-EstWind,86,60,73,0,8,0,0,0
IAH,19690608,NCDC-EstDew-EstWind,89,62,75.5,0,10.5,0,0,0
IAH,19690609,NCDC-EstDew-EstWind,93,66,79.5,0,14.5,0,0,0
IAH,19690610,NCDC-EstDew-EstWind,94,68,81,0,16,0,0,0
IAH,19690611,NCDC-EstDew-EstWind,90,68,79,0,14,0,0,0
IAH,19690612,NCDC-EstDew-EstWind,90,68,79,0,14,0,0,0
IAH,19690613,NCDC-EstDew-EstWind,91,70,80.5,0,15.5,0,0,0
IAH,19690614,NCDC-EstDew-EstWind,93,67,80,0,15,0,0,0
IAH,19690615,NCDC-EstDew-EstWind,88,68,78,0,13,0,0,0
IAH,19690616,NCDC-EstDew-EstWind,88,62,75,0,10,0,0,0
IAH,19690617,NCDC-EstDew-EstWind,90,64,77,0,12,0,0,0
IAH,19690618,NCDC-EstDew-EstWind,95,64,79.5,0,14.5,0,0,0
IAH,19690619,NCDC-EstDew-EstWind,96,68,82,0,17,0,0,0
IAH,19690620,NCDC-EstDew-EstWind,97,72,84.5,0,19.5,0,0,0
IAH,19690621,NCDC-EstDew-EstWind,98,77,87.5,0,22.5,0,0,0
IAH,19690622,NCDC-EstDew-EstWind,97,79,88,0,23,0,0,0
IAH,19690623,NCDC-EstDew-EstWind,96,81,88.5,0,23.5,0,0,0
IAH,19690624,NCDC-EstDew-EstWind,93,79,86,0,21,0,0,0
IAH,19690625,NCDC-EstDew-EstWind,95,79,87,0,22,0,0,0
IAH,19690626,NCDC-EstDew-EstWind,94,81,87.5,0,22.5,0,0,0
IAH,19690627,NCDC-EstDew-EstWind,97,78,87.5,0,22.5,0,0,0
IAH,19690628,NCDC-EstDew-EstWind,96,76,86,0,21,0,0,0
IAH,19690629,NCDC-EstDew-EstWind,97,75,86,0,21,0,0,0
IAH,19690630,NCDC-EstDew-EstWind,99,71,85,0,20,0,0,0
IAH,19690701,NCDC-EstDew-EstWind,98,75,86.5,0,21.5,0,0,0
IAH,19690702,NCDC-EstDew-EstWind,98,72,85,0,20,0,0,0
IAH,19690703,NCDC-EstDew-EstWind,98,72,85,0,20,0,0,0
IAH,19690704,NCDC-EstDew-EstWind,99,71,85,0,20,0,0,0
IAH,19690705,NCDC-EstDew-EstWind,93,72,82.5,0,17.5,1.03,0,0
IAH,19690706,NCDC-EstDew-EstWind,95,74,84.5,0,19.5,0,0,0
IAH,19690707,NCDC-EstDew-EstWind,96,76,86,0,21,0,0,0
IAH,19690708,NCDC-EstDew-EstWind,97,73,85,0,20,0,0,0
IAH,19690709,NCDC-EstDew-EstWind,100,72,86,0,21,0,0,0
IAH,19690710,NCDC-EstDew-EstWind,98,74,86,0,21,0,0,0
IAH,19690711,NCDC-EstDew-EstWind,84,75,79.5,0,14.5,0,0,0
IAH,19690712,NCDC-EstDew-EstWind,96,73,84.5,0,19.5,0,0,0
IAH,19690713,NCDC-EstDew-EstWind,100,73,86.5,0,21.5,0,0,0
IAH,19690714,NCDC-EstDew-EstWind,100,70,85,0,20,0,0,0
IAH,19690715,NCDC-EstDew-EstWind,101,68,84.5,0,19.5,0.5,0,0
IAH,19690716,NCDC-EstDew-EstWind,92,69,80.5,0,15.5,0.12,0,0
IAH,19690717,NCDC-EstDew-EstWind,92,72,82,0,17,0,0,0
IAH,19690718,NCDC-EstDew-EstWind,96,73,84.5,0,19.5,0,0,0
IAH,19690719,NCDC-EstDew-EstWind,95,73,84,0,19,0.91,0,0
IAH,19690720,NCDC-EstDew-EstWind,90,73,81.5,0,16.5,1.02,0,0
IAH,19690721,NCDC-EstDew-EstWind,93,72,82.5,0,17.5,0,0,0
IAH,19690722,NCDC-EstDew-EstWind,89,72,80.5,0,15.5,0.3,0,0
IAH,19690723,NCDC-EstDew-EstWind,94,75,84.5,0,19.5,0,0,0
IAH,19690724,NCDC-EstDew-EstWind,98,76,87,0,22,0,0,0
IAH,19690725,NCDC-EstDew-EstWind,97,76,86.5,0,21.5,0,0,0
IAH,19690726,NCDC-EstDew-EstWind,96,74,85,0,20,0,0,0
IAH,19690727,NCDC-EstDew-EstWind,96,74,85,0,20,0,0,0
IAH,19690728,NCDC-EstDew-EstWind,97,77,87,0,22,0,0,0
IAH,19690729,NCDC-EstDew-EstWind,99,74,86.5,0,21.5,0,0,0
IAH,19690730,NCDC-EstDew-EstWind,97,71,84,0,19,0,0,0
IAH,19690731,NCDC-EstDew-EstWind,93,73,83,0,18,0.01,0,0
IAH,19690801,NCDC-EstDew-EstWind,89,74,81.5,0,16.5,1.52,0,0
IAH,19690802,NCDC-EstDew-EstWind,93,70,81.5,0,16.5,0,0,0
IAH,19690803,NCDC-EstDew-EstWind,97,73,85,0,20,0,0,0
IAH,19690804,NCDC-EstDew-EstWind,94,74,84,0,19,0,0,0
IAH,19690805,NCDC-EstDew-EstWind,93,71,82,0,17,0,0,0
IAH,19690806,NCDC-EstDew-EstWind,95,69,82,0,17,0,0,0
IAH,19690807,NCDC-EstDew-EstWind,94,71,82.5,0,17.5,0,0,0
IAH,19690808,NCDC-EstDew-EstWind,96,72,84,0,19,0,0,0
IAH,19690809,NCDC-EstDew-EstWind,97,72,84.5,0,19.5,0,0,0
IAH,19690810,NCDC-EstDew-EstWind,101,74,87.5,0,22.5,0,0,0
IAH,19690811,NCDC-EstDew-EstWind,100,74,87,0,22,0,0,0
IAH,19690812,NCDC-EstDew-EstWind,99,75,87,0,22,0,0,0
IAH,19690813,NCDC-EstDew-EstWind,98,75,86.5,0,21.5,0,0,0
IAH,19690814,NCDC-EstDew-EstWind,93,75,84,0,19,0,0,0
IAH,19690815,NCDC-EstDew-EstWind,95,69,82,0,17,0,0,0
IAH,19690816,NCDC-EstDew-EstWind,97,72,84.5,0,19.5,0,0,0
IAH,19690817,NCDC-EstDew-EstWind,98,72,85,0,20,0,0,0
IAH,19690818,NCDC-EstDew-EstWind,95,72,83.5,0,18.5,0.33,0,0
IAH,19690819,NCDC-EstDew-EstWind,92,73,82.5,0,17.5,0.12,0,0
IAH,19690820,NCDC-EstDew-EstWind,93,74,83.5,0,18.5,0.03,0,0
IAH,19690821,NCDC-EstDew-EstWind,93,72,82.5,0,17.5,0,0,0
IAH,19690822,NCDC-EstDew-EstWind,96,70,83,0,18,0,0,0
IAH,19690823,NCDC-EstDew-EstWind,94,73,83.5,0,18.5,0.23,0,0
IAH,19690824,NCDC-EstDew-EstWind,89,71,80,0,15,0,0,0
IAH,19690825,NCDC-EstDew-EstWind,91,69,80,0,15,0.01,0,0
IAH,19690826,NCDC-EstDew-EstWind,91,73,82,0,17,0.01,0,0
IAH,19690827,NCDC-EstDew-EstWind,89,74,81.5,0,16.5,0,0,0
IAH,19690828,NCDC-EstDew-EstWind,87,71,79,0,14,0.39,0,0
IAH,19690829,NCDC-EstDew-EstWind,90,74,82,0,17,0,0,0
IAH,19690830,NCDC-EstDew-EstWind,92,71,81.5,0,16.5,0,0,0
IAH,19690831,NCDC-EstDew-EstWind,95,68,81.5,0,16.5,0.03,0,0
IAH,19690901,NCDC-EstDew-EstWind,94,69,81.5,0,16.5,0,0,0
IAH,19690902,NCDC-EstDew-EstWind,95,69,82,0,17,1.81,0,0
IAH,19690903,NCDC-EstDew-EstWind,90,69,79.5,0,14.5,2.48,0,0
IAH,19690904,NCDC-EstDew-EstWind,91,67,79,0,14,0.05,0,0
IAH,19690905,NCDC-EstDew-EstWind,88,72,80,0,15,0.04,0,0
IAH,19690906,NCDC-EstDew-EstWind,91,71,81,0,16,0,0,0
IAH,19690907,NCDC-EstDew-EstWind,92,71,81.5,0,16.5,0,0,0
IAH,19690908,NCDC-EstDew-EstWind,95,71,83,0,18,0,0,0
IAH,19690909,NCDC-EstDew-EstWind,90,69,79.5,0,14.5,0,0,0
IAH,19690910,NCDC-EstDew-EstWind,85,67,76,0,11,0,0,0
IAH,19690911,NCDC-EstDew-EstWind,83,64,73.5,0,8.5,0,0,0
IAH,19690912,NCDC-EstDew-EstWind,84,60,72,0,7,0,0,0
IAH,19690913,NCDC-EstDew-EstWind,87,58,72.5,0,7.5,0,0,0
IAH,19690914,NCDC-EstDew-EstWind,90,68,79,0,14,0,0,0
IAH,19690915,NCDC-EstDew-EstWind,89,73,81,0,16,0.88,0,0
IAH,19690916,NCDC-EstDew-EstWind,92,71,81.5,0,16.5,0,0,0
IAH,19690917,NCDC-EstDew-EstWind,89,70,79.5,0,14.5,0.01,0,0
IAH,19690918,NCDC-EstDew-EstWind,91,68,79.5,0,14.5,0,0,0
IAH,19690919,NCDC-EstDew-EstWind,88,71,79.5,0,14.5,0.24,0,0
IAH,19690920,NCDC-EstDew-EstWind,89,71,80,0,15,0.57,0,0
IAH,19690921,NCDC-EstDew-EstWind,87,69,78,0,13,0,0,0
IAH,19690922,NCDC-EstDew-EstWind,89,68,78.5,0,13.5,0,0,0
IAH,19690923,NCDC-EstDew-EstWind,88,68,78,0,13,0,0,0
IAH,19690924,NCDC-EstDew-EstWind,89,63,76,0,11,0,0,0
IAH,19690925,NCDC-EstDew-EstWind,91,61,76,0,11,0,0,0
IAH,19690926,NCDC-EstDew-EstWind,89,63,76,0,11,0,0,0
IAH,19690927,NCDC-EstDew-EstWind,93,61,77,0,12,0,0,0
IAH,19690928,NCDC-EstDew-EstWind,92,60,76,0,11,0,0,0
IAH,19690929,NCDC-EstDew-EstWind,92,60,76,0,11,0,0,0
IAH,19690930,NCDC-EstDew-EstWind,92,56,74,0,9,0,0,0
IAH,19691001,NCDC-EstDew-EstWind,89,58,73.5,0,8.5,0,0,0
IAH,19691002,NCDC-EstDew-EstWind,91,61,76,0,11,0,0,0
IAH,19691003,NCDC-EstDew-EstWind,89,67,78,0,13,0,0,0
IAH,19691004,NCDC-EstDew-EstWind,86,70,78,0,13,0.2,0,0
IAH,19691005,NCDC-EstDew-EstWind,88,66,77,0,12,0,0,0
IAH,19691006,NCDC-EstDew-EstWind,89,69,79,0,14,0,0,0
IAH,19691007,NCDC-EstDew-EstWind,85,63,74,0,9,0,0,0
IAH,19691008,NCDC-EstDew-EstWind,88,59,73.5,0,8.5,0,0,0
IAH,19691009,NCDC-EstDew-EstWind,87,65,76,0,11,0,0,0
IAH,19691010,NCDC-EstDew-EstWind,90,71,80.5,0,15.5,0.37,0,0
IAH,19691011,NCDC-EstDew-EstWind,90,76,83,0,18,0,0,0
IAH,19691012,NCDC-EstDew-EstWind,89,64,76.5,0,11.5,0.71,0,0
IAH,19691013,NCDC-EstDew-EstWind,69,49,59,6,0,0,0,0
IAH,19691014,NCDC-EstDew-EstWind,72,44,58,7,0,0,0,0
IAH,19691015,NCDC-EstDew-EstWind,75,44,59.5,5.5,0,0,0,0
IAH,19691016,NCDC-EstDew-EstWind,76,62,69,0,4,0,0,0
IAH,19691017,NCDC-EstDew-EstWind,80,62,71,0,6,0,0,0
IAH,19691018,NCDC-EstDew-EstWind,82,54,68,0,3,0,0,0
IAH,19691019,NCDC-EstDew-EstWind,86,57,71.5,0,6.5,0,0,0
IAH,19691020,NCDC-EstDew-EstWind,86,69,77.5,0,12.5,0,0,0
IAH,19691021,NCDC-EstDew-EstWind,83,68,75.5,0,10.5,0,0,0
IAH,19691022,NCDC-EstDew-EstWind,83,57,70,0,5,0,0,0
IAH,19691023,NCDC-EstDew-EstWind,76,53,64.5,0.5,0,0,0,0
IAH,19691024,NCDC-EstDew-EstWind,77,47,62,3,0,0,0,0
IAH,19691025,NCDC-EstDew-EstWind,85,57,71,0,6,0,0,0
IAH,19691026,NCDC-EstDew-EstWind,86,63,74.5,0,9.5,0,0,0
IAH,19691027,NCDC-EstDew-EstWind,83,60,71.5,0,6.5,0,0,0
IAH,19691028,NCDC-EstDew-EstWind,73,54,63.5,1.5,0,0,0,0
IAH,19691029,NCDC-EstDew-EstWind,73,56,64.5,0.5,0,0.04,0,0
IAH,19691030,NCDC-EstDew-EstWind,75,60,67.5,0,2.5,1.97,0,0
IAH,19691031,NCDC-EstDew-EstWind,69,47,58,7,0,0.01,0,0
IAH,19691101,NCDC-EstDew-EstWind,70,39,54.5,10.5,0,0,0,0
IAH,19691102,NCDC-EstDew-EstWind,70,41,55.5,9.5,0,0,0,0
IAH,19691103,NCDC-EstDew-EstWind,65,37,51,14,0,0,0,0
