TX1010000,HARRIS CO SO HOUSTON,SHERIFF'S OFFICE,,,2,HARRIS
TX1010100,BAYTOWN PD,BAYTOWN PD,,,3,HARRIS
TX101013A,COUNTY ATTORNEY'S OFFICE HOUSTON,COUNTY ATTORNEY'S OFFICE,,,6,HARRIS
TX101015A,DISTRICT ATTORNEYS OFFICE HOUSTON,DISTRICT ATTORNEY'S,OFFICE,,6,HARRIS
TX101015Y,HEALTH AND HUMAN SERV COMM OIG,HEALTH & HUMAN SERV COMMISSION,OFFICE OF INSPECTOR GENERAL,HOUSTON,6,HARRIS
TX101017Y,SOCIAL SECURITY ADMINISTRATION,SOCIAL SECURITY ADMINISTRATION,INSPECTOR GENERAL,OFFICE,6,HARRIS
TX1010200,BELLAIRE PD,BELLAIRE PD,,,3,HARRIS
TX101023G,JUVENILE PROBATION OFFICE HOUSTON,HARRIS COUNTY,JUVENILE PROBATION DEPT,,6,HARRIS
TX101023Y,PASADENA FIRE MARSHAL ARSON DIVISION,PASADENA FIRE MARSHAL,ARSON DIVISION,,6,HARRIS
TX101023Y,PASADENA FIRE MARSHAL ARSON DIVISION,PASADENA FIRE MARSHAL,ARSON DIVISION,,6,HARRIS
TX101025A,ATTORNEY GENERAL MEDICAID FRAUD CONTROL UNIT,OFFICE OF ATTORNEY GENERAL,MEDICAID FRAUD CONTROL UNIT,,6,HARRIS
TX101035U,TEXAS ATTORNEY GENERAL CHILD SUPPORT DIVISION,TEXAS ATTORNEY GENERAL,CHILD SUPPORT DIVISION,,5,HARRIS
TX1010400,DEER PARK PD,DEER PARK PD,,,3,HARRIS
TX1010600,GALENA PARK POLICE DEPT,GALENA PARK POLICE DEPARTMENT,,,3,HARRIS
TX101065Y,OFFICE ATTORNEY GEN FUGITIVE UNIT HOUSTON REG,OFFICE OF ATTORNEY GENERAL,FUGITIVE UNIT,HOUSTON REGIONAL OFFICE,6,HARRIS
TX101065Y,OFFICE ATTORNEY GEN FUGITIVE UNIT HOUSTON REG,OFFICE OF ATTORNEY GENERAL,FUGITIVE UNIT,HOUSTON REGIONAL OFFICE,6,HARRIS
TX101075Y,HOUSTON FORENSIC SCIENCE CENTER,HOUSTON FORENSIC,SCIENCE CENTER,,6,HARRIS
TX1010900,HUMBLE PD,HUMBLE PD,,,3,HARRIS
TX1011100,JACINTO CITY PD HOUSTON,JACINTO CITY PD,,,3,HARRIS
TX1011200,JERSEY VILLAGE POLICE DEPT,JERSEY VILLAGE POLICE DEPT,,,3,HARRIS
TX1011300,LA PORTE POLICE DEPT,LA PORTE POLICE DEPT,,,3,HARRIS
TX1011400,MORGANS POINT PD,MORGANS POINT PD,,,3,HARRIS
TX1011500,PASADENA PD,PASADENA PD,,,3,HARRIS
TX1011700,SEABROOK PD,SEABROOK PD,,,3,HARRIS
TX1011800,SHOREACRES POLICE DEPT,SHOREACRES POLICE DEPARTMENT,,,3,HARRIS
TX1011900,SOUTH HOUSTON PD,SOUTH HOUSTON PD,,,3,HARRIS
TX1012000,SOUTH SIDE PLACE PD HOUSTON,SOUTH SIDE PLACE PD,,,3,HARRIS
TX1012100,SPRING VALLEY VILLAGE POLICE DEPT,SPRING VALLEY VILLAGE,POLICE DEPARTMENT,,3,HARRIS
