Year,Violent Crime,Population
1997,1636099,267783607
1998,1533887,270248003
1999,1426044,272690813
2000,1425486,281421906
2001,1439480,285317559
2002,1423677,287973924
2003,1383676,290788976
2004,1360088,293656842
2005,1390745,296507061
2006,1435123,299398484
2007,1422970,301621157
2008,1394461,304059724
2009,1325896,307006550
2010,1251248,309330219
2011,1206031,311587816
2012,1217057,313873685
2013,1168298,316497531
2014,1153022,318907401
2015,1285606,323405935
2016,1283220,325719178
2017,1199310,320896618
