"Site4","Date","Source","Max Temp","Min Temp","Avg Temp","HDDs","CDDs","Precipitation Water Equiv","Snowfall","Snow/Ice Depth"
"KIAH",6/1/1969 0:00:00,"NCDC-EstDew-EstWind",90,72,81.00,0.00,16.00,0.00,0.00,0.00
"KIAH",6/2/1969 0:00:00,"NCDC-EstDew-EstWind",85,62,73.50,0.00,8.50,0.18,0.00,0.00
"KIAH",6/3/1969 0:00:00,"NCDC-EstDew-EstWind",80,60,70.00,0.00,5.00,0.06,0.00,0.00
"KIAH",6/4/1969 0:00:00,"NCDC-EstDew-EstWind",66,60,63.00,2.00,0.00,1.27,0.00,0.00
"KIAH",6/5/1969 0:00:00,"NCDC-EstDew-EstWind",78,56,67.00,0.00,2.00,0.00,0.00,0.00
"KIAH",6/6/1969 0:00:00,"NCDC-EstDew-EstWind",86,58,72.00,0.00,7.00,0.00,0.00,0.00
"KIAH",6/7/1969 0:00:00,"NCDC-EstDew-EstWind",86,60,73.00,0.00,8.00,0.00,0.00,0.00
"KIAH",6/8/1969 0:00:00,"NCDC-EstDew-EstWind",89,62,75.50,0.00,10.50,0.00,0.00,0.00
"KIAH",6/9/1969 0:00:00,"NCDC-EstDew-EstWind",93,66,79.50,0.00,14.50,0.00,0.00,0.00
"KIAH",6/10/1969 0:00:00,"NCDC-EstDew-EstWind",94,68,81.00,0.00,16.00,0.00,0.00,0.00
"KIAH",6/11/1969 0:00:00,"NCDC-EstDew-EstWind",90,68,79.00,0.00,14.00,0.00,0.00,0.00
"KIAH",6/12/1969 0:00:00,"NCDC-EstDew-EstWind",90,68,79.00,0.00,14.00,0.00,0.00,0.00
"KIAH",6/13/1969 0:00:00,"NCDC-EstDew-EstWind",91,70,80.50,0.00,15.50,0.00,0.00,0.00
"KIAH",6/14/1969 0:00:00,"NCDC-EstDew-EstWind",93,67,80.00,0.00,15.00,0.00,0.00,0.00
"KIAH",6/15/1969 0:00:00,"NCDC-EstDew-EstWind",88,68,78.00,0.00,13.00,0.00,0.00,0.00
"KIAH",6/16/1969 0:00:00,"NCDC-EstDew-EstWind",88,62,75.00,0.00,10.00,0.00,0.00,0.00
"KIAH",6/17/1969 0:00:00,"NCDC-EstDew-EstWind",90,64,77.00,0.00,12.00,0.00,0.00,0.00
"KIAH",6/18/1969 0:00:00,"NCDC-EstDew-EstWind",95,64,79.50,0.00,14.50,0.00,0.00,0.00
"KIAH",6/19/1969 0:00:00,"NCDC-EstDew-EstWind",96,68,82.00,0.00,17.00,0.00,0.00,0.00
"KIAH",6/20/1969 0:00:00,"NCDC-EstDew-EstWind",97,72,84.50,0.00,19.50,0.00,0.00,0.00
"KIAH",6/21/1969 0:00:00,"NCDC-EstDew-EstWind",98,77,87.50,0.00,22.50,0.00,0.00,0.00
"KIAH",6/22/1969 0:00:00,"NCDC-EstDew-EstWind",97,79,88.00,0.00,23.00,0.00,0.00,0.00
"KIAH",6/23/1969 0:00:00,"NCDC-EstDew-EstWind",96,81,88.50,0.00,23.50,0.00,0.00,0.00
"KIAH",6/24/1969 0:00:00,"NCDC-EstDew-EstWind",93,79,86.00,0.00,21.00,0.00,0.00,0.00
"KIAH",6/25/1969 0:00:00,"NCDC-EstDew-EstWind",95,79,87.00,0.00,22.00,0.00,0.00,0.00
"KIAH",6/26/1969 0:00:00,"NCDC-EstDew-EstWind",94,81,87.50,0.00,22.50,0.00,0.00,0.00
"KIAH",6/27/1969 0:00:00,"NCDC-EstDew-EstWind",97,78,87.50,0.00,22.50,0.00,0.00,0.00
"KIAH",6/28/1969 0:00:00,"NCDC-EstDew-EstWind",96,76,86.00,0.00,21.00,0.00,0.00,0.00
"KIAH",6/29/1969 0:00:00,"NCDC-EstDew-EstWind",97,75,86.00,0.00,21.00,0.00,0.00,0.00
"KIAH",6/30/1969 0:00:00,"NCDC-EstDew-EstWind",99,71,85.00,0.00,20.00,0.00,0.00,0.00
"KIAH",7/1/1969 0:00:00,"NCDC-EstDew-EstWind",98,75,86.50,0.00,21.50,0.00,0.00,0.00
"KIAH",7/2/1969 0:00:00,"NCDC-EstDew-EstWind",98,72,85.00,0.00,20.00,0.00,0.00,0.00
